# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2500,-7.6000,1.6978,1.6978
1.5000,-7.5000,1.5207,1.5207
0.7500,-7.3000,1.3342,1.3342
0.0000,-6.8500,1.3314,1.3314
-0.5000,-6.1000,1.4637,1.4637
-0.8000,-5.3500,1.7500,1.7500
-1.1500,-4.6000,2.0396,2.0396
-1.5500,-3.8500,2.1587,2.1587
-1.8500,-3.1000,1.7183,1.7183
-2.1500,-2.3500,1.4807,1.4807
-2.7500,-1.6500,1.2728,1.2728
-3.5000,-1.1500,1.2540,1.2540
-4.2500,-0.9000,1.4142,1.4142
-5.0000,-0.7000,1.8608,1.8608
-5.7500,-0.7000,2.3335,2.3335
-6.5000,-0.6500,2.5500,2.5500
-7.2500,-0.7500,2.1506,2.1506
-8.0000,-0.7000,1.6771,1.6771
-8.7500,-0.5500,1.3500,1.3500
-9.5000,-0.3000,1.2083,1.2083
-10.1500,0.3500,1.2083,1.2083
-10.4000,1.1000,1.3509,1.3509
-10.4000,1.8500,1.4500,1.4500
-9.9500,2.6000,1.5652,1.5652
-9.4500,3.3500,1.6325,1.6325
-8.9500,4.1000,1.6560,1.6560
-8.4000,4.8500,1.6378,1.6378
-7.7500,5.4500,1.5500,1.5500
-7.0000,5.4500,1.3537,1.3537
-6.2500,5.2500,1.2166,1.2166
-5.5000,4.8500,1.2042,1.2042
-4.8000,4.1500,1.3210,1.3210
-4.1500,3.5000,1.5207,1.5207
-3.4000,2.9500,1.5700,1.5700
-2.6500,2.4000,1.5811,1.5811
-1.9000,1.8500,1.5953,1.5953
-1.1500,1.3000,1.5914,1.5914
-0.4000,0.7500,1.5953,1.5953
0.3500,0.2000,1.5914,1.5914
1.1000,-0.4000,1.5572,1.5572
1.8500,-1.0000,1.5508,1.5508
2.6000,-1.3000,1.2981,1.2981
3.3500,-1.7000,1.2530,1.2530
4.1000,-2.2500,1.2806,1.2806
4.5500,-3.0000,1.4509,1.4509
4.7000,-3.7500,1.6492,1.6492
4.6000,-4.5000,1.8601,1.8601
4.1000,-5.2500,1.8561,1.8561
3.6000,-6.0000,1.8358,1.8358
3.1000,-6.7500,1.8722,1.8722
2.5500,-7.5000,1.8173,1.8173
